event_key,name,active,event_start,event_end,event_type,event_subtype,seats,description,speakers,moderators,artists,sponsors,exhibitors,volunteers,venue,address,media_url,company,audience,subject,geo_area,tags,host_org,rsvp_url,surveys
115,Biased Sampling of Simple Carbohydrate Puckering Through the Use of Novel Reaction Coordinates,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Exhibit/Performance,Biomedical Sciences,,,Devon Martin  ,,,,,,Cross Insurance Center,,,363,,,,"Computational, Carbohydrates, Biomedical Science",,,y
141,Lysine methyltransferase Kmt5a promotes aging-associated myeloid-biased cell production from hematopoietic progenitor cells,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Exhibit/Performance,Biomedical Sciences,,,Eraj Khokhar  ,,,,,,Cross Insurance Center,,,364,,,,"Hematopoiesis, Epigenetics, Aging",,,y
146,Characterization of Gut Microbiota in Larval and Adult Mosquitoes,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Exhibit/Performance,Biomedical Sciences,,,Fatimah B. Conteh  ,,,,,,Cross Insurance Center,,,365,,,,"medical entomology, mosquitoes, microbiome",,,y
155,Non-Coding Regulatory Genes Conserved in Heart and Caudal Fin Regeneration,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Exhibit/Performance,Biomedical Sciences,,,Grace Smith  ,,,,,,Cross Insurance Center,,,366,,,,"Genetics, Bioinformatics, Regeneration",,,y
167,Controlling 2-pore Potassium Channels with Light: Synthesis and Evaluation of New Photoswitchable Channel Blockers,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Exhibit/Performance,Biomedical Sciences,,,Hussein Sayed  ,,,,,,Cross Insurance Center,,,367,,,,Organic Chemsitry,,,y
173,Identification of Virulence Genes in Streptococcus iniae,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Exhibit/Performance,Biomedical Sciences,,,James Barry  ,,,,,,Cross Insurance Center,,,368,,,,microbiology,,,y
197,BioPUNKS Arcade: Building Relational Technologies with Biosensors,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Exhibit/Performance,Biomedical Sciences,,,Joshua Hamilton  ,,,,,,Cross Insurance Center,,,369,,,,"computer human interaction, biosensors, design",,,y
213,Characterization of 5-HT2 Receptor Subtypes in JCPyV Infection Using Super-Resolution Localization Microscopy,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Exhibit/Performance,Biomedical Sciences,,,Kashif Mehmood  ,,,,,,Cross Insurance Center,,,370,,,,"Virus, Entry",,,y
250,Climate Change may Increase the Prevalence of Amyotrophic Lateral Sclerosis (ALS) in Maine.,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Exhibit/Performance,Biomedical Sciences,,,Matthew Kruger  Roger Sher,,,,,,Cross Insurance Center,,,371,,,,"Climate, ALS, Cell Signaling",,,y
318,Up Close and Personal: Medicine That Gets Inside Your DNA,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Exhibit/Performance,Biomedical Sciences,,,Sara Imam  Maddie Burgess Arielle Spalla Emma Freeman Grace Smith,,,,,,Cross Insurance Center,,,372,,,,"Genetics, Medicine, Mutation",,,y
329,Interleukin-17 Receptor-D Regulates Plaque Formation During Atherosclerosis,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Exhibit/Performance,Biomedical Sciences,,,Shivangi Pande  ,,,,,,Cross Insurance Center,,,373,,,,"Biomedical Sciences, Cardiovascular disease ",,,y
351,Sleep-Dependent Memory Consolidation and Sleep Deprivation in Early Alzheimer's Disease,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Exhibit/Performance,Biomedical Sciences,,,Taylor Delp  ,,,,,,Cross Insurance Center,,,374,,,,"Neuroscience, Sleep, Neurodegenerative Diseases",,,y
4,The Psychology of Marketing to Foreign Consumers,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Poster,Business,,,Abby Leidenfrost  ,,,,,,Cross Insurance Center,,,401,,,,"Business, management, marketing",,,y
132,Key Industries in China,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Poster,Business,,,Emily Mitchell  Gabby Chartier Derek Knarr Will Zakian Joshua Huffman,,,,,,Cross Insurance Center,,,402,,,,"International, industries, china",,,y
206,Determinants of Performance in the Contemporary World of Sales,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Poster,Business,,,Kaela Schram  ,,,,,,Cross Insurance Center,,,403,,,,"sales, business, communication",,,y
221,Bridging the Gap Between Conservation and Business in the Farms of the Falkland Islands,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Poster,Business,,,Kayla Greenawalt  ,,,,,,Cross Insurance Center,,,404,,,,"Conservation, Small Business, Climate Change",,,y
308,The End Of Western-centered World In The Business World And The Importance Of Eastern Markets In The Future To Come,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Oral Presentation,Business,,,Ryan Wang  ,,,,,,Cross Insurance Center,,,405,Room 4,,,"Asia, Business, World Population ",,,y
15,Maternity Leave in the U.S.,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Exhibit/Performance,Business,,,Alexis Lindsay  ,,,,,,Cross Insurance Center,,,406,,,,"maternity leave, politics, human rights ",,,y
62,Country Analysis of Brazil,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Exhibit/Performance,Business,,,Blake Nelson  Jessica Kimball Brittany Ogden Charlotte Couture Hannah Johnson,,,,,,Cross Insurance Center,,,407,,,,"Business, International, Brazil",,,y
47,Understanding a Middle School Student's Reasoning About Thermal Energy,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Poster,Education,,,Arianna Giguere  ,,,,,,Cross Insurance Center,,,501,,,,"physics education, thermal energy, middle school science",,,y
80,"Awareness, Wonder, and Engagement Framework: Assessing Learning Outcomes in Environmental Communication",Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Poster,Education,,,Cassandra Page  Bridie McGreavy Abby Roche Laura Rickard,,,,,,Cross Insurance Center,,,502,,,,"Communication, Environment, Learning ",,,y
114,An Analysis of the Influence a Teacher’s Level of Scientific Questioning had on the Level of Scientific Questioning of Students in a Montessori School,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Poster,Education,,,Desiree Labbe  ,,,,,,Cross Insurance Center,,,503,,,,"cognitive development, early childhood, science",,,y
185,Promoting Analogical Reasoning in General Chemistry Lab Experiments,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Poster,Education,,,Joe Walter  ,,,,,,Cross Insurance Center,,,504,,,,"Analogical reasoning, chemistry, education",,,y
191,Differences in Language through the Comparison of Mathematical Word Choice in Chile and Maine,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Poster,Education,,,Jordan Houdeshell  ,,,,,,Cross Insurance Center,,,505,,,,"education, math, language",,,y
100,Interdivisional Partnerships on Gender Inclusive Policies at the University of Maine,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Oral Presentation,Education,,,Crissi Dalfonzo  Caroline Fannoush Dababneh Molly Hodgkins Jeremy Hynson,,,,,,Cross Insurance Center,,,506,Room 4,,,,,,y
187,Investigating Student Reasoning Patterns via Dual-Process Theory,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Oral Presentation,Education,,,John Caleb Speirs  ,,,,,,Cross Insurance Center,,,507,Room 4,,,"physics, education, reasoning",,,y
204,Praxis Core: A Detriment to Rural Schools,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Oral Presentation,Education,,,Justin Hagedorn  ,,,,,,Cross Insurance Center,,,508,Room 4,,,"rural education, praxis, teacher education",,,y
235,Assessment Knowledge for Teaching: Clarifying the Theoretical Construct of Assessment Knowledge by Studying Middle School Science Classroom Assessment Practices,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Oral Presentation,Education,,,Laura Millay  ,,,,,,Cross Insurance Center,,,509,Room 4,,,"Assessment Knowledge, Pedagogical Content Knowledge, formative assessment of science learning",,,y
260,Breaking Binary: A Case for Gender Inclusive Policies in Higher Education,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Oral Presentation,Education,,,Molly Hodgkins  Crissi M. Dalfonzo Caroline Fannoush Dababneh Jeremy Hynson,,,,,,Cross Insurance Center,,,510,Room 4,,,"higher education, education, gender studies",,,y
307,Probing the Nature of Student Reasoning Using Modified Chaining Tasks,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Oral Presentation,Education,,,Ryan Moyer  ,,,,,,Cross Insurance Center,,,511,Room 4,,,"physics, education, reasoning",,,y
373,Giving Data Meaning in a State-Wide Science Education Partnership,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Oral Presentation,Education,,,Zachary Adam Rogers  ,,,,,,Cross Insurance Center,,,512,Room 4,,,"Embedded assessment, evidence-based, professional development",,,y
175,Huskeh Tech Mobile Labs,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Exhibit/Performance,Education,,,Jason Dignan  ,,,,,,Cross Insurance Center,,,513,,,,"emerging, technology, education",,,y
6,Selective Surface Modification of Paper Substrates for Controlled-Adhesion Diagnostic Devices,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Poster,Engineering and Information Sciences,,,Abigail Weigang  ,,,,,,Cross Insurance Center,,,601,,,,"bioengineering, surface science, antifouling",,,y
24,Investigating Long Term Storage of Clay Samples on Measured Engineering Parameters,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Poster,Engineering and Information Sciences,,,Amanda Barnett  ,,,,,,Cross Insurance Center,,,602,,,,"geotechnical engineering, civil engineering",,,y
55,Arsenic Remediation in Maine Drinking Water,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Poster,Engineering and Information Sciences,,,Austin Steward  ,,,,,,Cross Insurance Center,,,603,,,,"Bioengineering, Arsenic, Water",,,y
59,Hybrid Thermoplastic Composite and Concrete Panel System,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Poster,Engineering and Information Sciences,,,Benjamin Smith  ,,,,,,Cross Insurance Center,,,604,,,,"thermoplastic, composite, concrete",,,y
72,Feasibility of Hybrid Thermoplastic Composite-Concrete Load Bearing System,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Poster,Engineering and Information Sciences,,,Camerin Michael Seigars  ,,,,,,Cross Insurance Center,,,605,,,,"composite, thermoplastic, concrete",,,y
78,Pharmacokinetics of Bone Regeneration,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Poster,Engineering and Information Sciences,,,Cassandra Dechaine  ,,,,,,Cross Insurance Center,,,606,,,,Biomedical engineering,,,y
79,Particle Transmission and Dispersion within Fusion 5 Matrix Model,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Poster,Engineering and Information Sciences,,,Cassandra Dechaine  Ryan Irvine Wyatt Austin Matthew Egan,,,,,,Cross Insurance Center,,,607,,,,Bioengineering,,,y
89,Modified Slippery Surfaces on Paper Substrates for Controlled Bacterial Adhesion in Diagnostics,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Poster,Engineering and Information Sciences,,,Chloe Lilly  ,,,,,,Cross Insurance Center,,,608,,,,"Paper, Diagnostics, Bacteria",,,y
91,Pulp Yield Improvement Via Meerwein-Ponndorf-Verley (MPV) Reduction,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Poster,Engineering and Information Sciences,,,Christopher Albert  ,,,,,,Cross Insurance Center,,,609,,,,Pulping ,,,y
151,Selective Ring-Opening Reactions on Thermal Deoxygenation Oils,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Poster,Engineering and Information Sciences,,,Gabriela Constantin  ,,,,,,Cross Insurance Center,,,610,,,,"biofuels, engineering",,,y
156,Enabling Precise Reasoning on Cardinal Direction Information,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Poster,Engineering and Information Sciences,,,Greg Kritzman  Torsten Hahmann,,,,,,Cross Insurance Center,,,611,,,,"ontology, direction, spatial",,,y
169,"Design, Testing, and Validation of a Multi-Scale Floating Offshore Model Test Wind Turbine",Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Poster,Engineering and Information Sciences,,,Jacob Ward  ,,,,,,Cross Insurance Center,,,612,,,,"offshore wind, renewable energy, wind turbine",,,y
188,A VR Sculpting Application Using a Goal-Based System to Introduce New Tools and Features,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Poster,Engineering and Information Sciences,,,John San Diego  ,,,,,,Cross Insurance Center,,,613,,,,"Software Development, Virtual Reality, Digital Sculpting, Unity3D",,,y
203,Maine Data Buoy,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Poster,Engineering and Information Sciences,,,Justin Cottle  Zechariah Palmeter Joshua Girgis Kale Prentice Austin Kidder,,,,,,Cross Insurance Center,,,614,,,,"Aquaculture, Buoy, Data Collection",,,y
209,3D Haptics for Nonvisual Spatial Learning and Navigation,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Poster,Engineering and Information Sciences,,,Kaitlyn Haase  ,,,,,,Cross Insurance Center,,,615,,,,"haptic rendering, vibrotactile cuing, nonvisual navigation",,,y
217,Connecting to Begin a Community Energy Project,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Poster,Engineering and Information Sciences,,,Katelyn Manzo  Katelyn Manzo,,,,,,Cross Insurance Center,,,616,,,,"renewable energy, community energy, social media",,,y
236,Assessment of helical anchor bearing capacity for offshore aquaculture applications,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Poster,Engineering and Information Sciences,,,Leon Cortes-Garcia  ,,,,,,Cross Insurance Center,,,617,,,,"Helical anchors, offshore, aquaculture",,,y
269,Comparing Visual Augmentations for Navigation of Indoor Spaces,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Poster,Engineering and Information Sciences,,,Nicholas A Jensen  ,,,,,,Cross Insurance Center,,,618,,,,"Augmented reality, spatial cognition, memory",,,y
270,VHF Near Field Antenna Design for Wireless Sensing Applications,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Poster,Engineering and Information Sciences,,,Nicholas Aiken  ,,,,,,Cross Insurance Center,,,619,,,,"Microwave,Engineering,Wireless",,,y
304,iBeacons: a Dementia Related Wandering Solution,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Poster,Engineering and Information Sciences,,,Robert Owens  ,,,,,,Cross Insurance Center,,,620,,,,"iBeacon, Dementia, Wandering",,,y
311,Self-Replenishing Implantable Drug Delivery Systems,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Poster,Engineering and Information Sciences,,,Sahar Roozbahani  ,,,,,,Cross Insurance Center,,,621,,,,"implant, drug delivery, self repleneshing ",,,y
325,Extracting Polysaccharides from Seaweed,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Poster,Engineering and Information Sciences,,,Shania Evangelista  Zachary Applebee Angela Wang,,,,,,Cross Insurance Center,,,622,,,,"aquaculture, polysaccharides, chemical process",,,y
331,Wind induced water level variations along a macrotidal and convergent estuary: a numerical model study,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Poster,Engineering and Information Sciences,,,Sohaib Alahmed  ,,,,,,Cross Insurance Center,,,623,,,,"Tide, Wind, FE model",,,y
358,Cellulose nanofibers: A Potential Protectant of Boat Hulls,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Poster,Engineering and Information Sciences,,,Thomas Roerden  ,,,,,,Cross Insurance Center,,,624,,,,"Biolengineering, Nanocellulose",,,y
374,Oyster Upweller Aquaculture Testing System,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Poster,Engineering and Information Sciences,,,Zachary Hale  Aaron Brown Steve Longfellow Zachery Hindley Dylan Crowell,,,,,,Cross Insurance Center,,,625,,,,"Oyster, Aquaculture, Mechanical Engineering",,,y
49,Microwave Acoustic Gas Sensors in the 200 – 700C Range,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Oral Presentation,Engineering and Information Sciences,,,Armando Ayes  ,,,,,,Cross Insurance Center,,,626,Room 3,,,"Surface Acoustic Wave Devices, Gas Sensors, Electrical Engineering",,,y
61,Determining Honey Bee Colony Health Using a Radar Based Monitor,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Oral Presentation,Engineering and Information Sciences,,,Berkay Payal  ,,,,,,Cross Insurance Center,,,627,Room 3,,,"Engineering, Bees , Radar",,,y
68,Intraannual fjord circulation: Seasonal variation in fjord physics and biology and impacts of a GLOF,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Oral Presentation,Engineering and Information Sciences,,,Brigitte Parady  ,,,,,,Cross Insurance Center,,,628,Room 3,,,"glacial lake outburst flood, fjord circulation, diel vertical migration ",,,y
105,Enhanced Properties of Coated Paper Liquid-Infused Surfaces for Bacteria Handling and Detection,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Oral Presentation,Engineering and Information Sciences,,,Daniel P. Regan  ,,,,,,Cross Insurance Center,,,629,Room 3,,,"bioengineering, materials science, diagnostic devices",,,y
107,Simultaneous Wireless Energy Harvesting and Data Transfer for Wireless Sensors,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Oral Presentation,Engineering and Information Sciences,,,Daniel Schlabig  ,,,,,,Cross Insurance Center,,,630,Room 3,,,"wireless power transfer, wireless sensors, fading channels",,,y
111,Cellulose Nanofibrils-Silver Nanowires Film for Flexible Electronics,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Oral Presentation,Engineering and Information Sciences,,,David Flewelling  ,,,,,,Cross Insurance Center,,,631,Room 3,,,"Nanoscience, Chemical Engineering, Bioengineering",,,y
163,Synthesizing Amphiphilic Cationic Bottlebrush Polymers for Anti-Marine Fouling,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Oral Presentation,Engineering and Information Sciences,,,Hathaithep Senkum  ,,,,,,Cross Insurance Center,,,632,Room 4,,,,,,y
164,Health Manager,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Oral Presentation,Engineering and Information Sciences,,,Heejae Shin  ,,,,,,Cross Insurance Center,,,633,Room 3,,,software engineering,,,y
166,Reaction Kinetic Analysis of Ethanol Conversion over MgO-SiO2 Catalyst,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Oral Presentation,Engineering and Information Sciences,,,Hussein Abdulrazzaq  ,,,,,,Cross Insurance Center,,,634,Room 3,,,"Catalyst, Process Engineering, BIofuel",,,y
222,The Hilbert-Huang Transform: Applications and Theoretical Framework,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Oral Presentation,Engineering and Information Sciences,,,Kenneth R. Bundy  ,,,,,,Cross Insurance Center,,,635,Room 3,,,"Mathematics, Signal Processing, Analysis",,,y
228,Conversion of Pretreated Hardwood to Medium-Chain Fatty Acids for Production of Biolubricants.,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Oral Presentation,Engineering and Information Sciences,,,Koorosh Kashkooli  ,,,,,,Cross Insurance Center,,,636,Room 3,,,"bio lubricant, fermentation, forest by product",,,y
238,Contributions of Offshore Longline Aquaculture Farms to Living Shorelines from the Aspect of Wave Attenuation,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Oral Presentation,Engineering and Information Sciences,,,Longhuan Zhu  ,,,,,,Cross Insurance Center,,,637,Room 4,,,"wave attenuation, offshore aquaculture farm, living shorelines",,,y
295,Lateral Variability of Subtidal Flow at the Mouth of a Macrotidal Estuary,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Oral Presentation,Engineering and Information Sciences,,,Rachel Chambers  ,,,,,,Cross Insurance Center,,,638,Room 3,,,"coastal engineering, estuaries, tidal dynamics",,,y
317,"Hydration Detection, A Microfluidics-Based Approach",Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Oral Presentation,Engineering and Information Sciences,,,Samuel Leask  ,,,,,,Cross Insurance Center,,,639,Room 4,,,Bioengineering Hydration Microfluidics,,,y
328,On the tractability of data-driven Verification of First-Order Logic Ontologies,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Oral Presentation,Engineering and Information Sciences,,,Shirly Stephen  ,,,,,,Cross Insurance Center,,,640,Room 4,,,"Geoscience, Information Technology, Mathematical Logic",,,y
376,Hydrodynamic Impacts of Floating Oyster Farm,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Oral Presentation,Engineering and Information Sciences,,,Zhilong Liu  ,,,,,,Cross Insurance Center,,,641,Room 3,,,"Aquaculture, Estuarine dynamics, Tide",,,y
7,Kirigami Inspired Joining Methods for Thermoplastic Sandwich Composites Panels,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Exhibit/Performance,Engineering and Information Sciences,,,Adam Letourneau  ,,,,,,Cross Insurance Center,,,642,,,,Joint Composite Engineering,,,y
11,Noninvasive Wireless Sensors for Sleep/Wake Determination,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Exhibit/Performance,Engineering and Information Sciences,,,Ahmed Almaghasilah  ,,,,,,Cross Insurance Center,,,643,,,,"Engineering, Psychology",,,y
44,Origami-Inspired Design of Rapidly Deployable Structures,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Exhibit/Performance,Engineering and Information Sciences,,,Anthony Verzoni  ,,,,,,Cross Insurance Center,,,644,,,,"Engineering, Origami, Structures",,,y
57,Large Format 3D Printing,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Exhibit/Performance,Engineering and Information Sciences,,,Benjamin Meltzer  Quinn Campbell,,,,,,Cross Insurance Center,,,645,,,,"3D Printing, Additive Manufacturing, Large Format",,,y
77,Stencil Coating Paper-based Infused Polymers for Diagnostics,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Exhibit/Performance,Engineering and Information Sciences,,,Caryl Young  Jennie Daley,,,,,,Cross Insurance Center,,,646,,,,"bioengineering, paper diagnostics",,,y
103,The Collection of Non-invasive Biometrics via Infrared Imaging from a UAV Drone,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Exhibit/Performance,Engineering and Information Sciences,,,Dakota Sudbeck  Dan Schlabig,,,,,,Cross Insurance Center,,,647,,,,"image analysis, biometrics, biomedical engineering",,,y
108,Phenol Hydrodeoxygenation in a High-Pressure Liquid-Phase Flow Reactor over Ru/TiO2,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Exhibit/Performance,Engineering and Information Sciences,,,Daniela Stück V.  ,,,,,,Cross Insurance Center,,,648,,,,"Surface Science, Catalysis, Biorefineries ",,,y
159,Testing and Validation of Emerging Hull Technologies for Floating Offshore Wind Turbines,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Exhibit/Performance,Engineering and Information Sciences,,,Hannah Allen  ,,,,,,Cross Insurance Center,,,649,,,,"Offshore, Wind, Energy",,,y
193,Vitals Education Simulation Technology,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Exhibit/Performance,Engineering and Information Sciences,,,Jordan Tremont  Samantha Brown Jennie Daley Dakota Sudbeck,,,,,,Cross Insurance Center,,,650,,,,"Bioengineering, medical simulation, medicine",,,y
194,Multiple Material 3D Printing,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Exhibit/Performance,Engineering and Information Sciences,,,Jordan Yoder  Matthew Ireland,,,,,,Cross Insurance Center,,,651,,,,"3D Printing, thermoplastics, additive manufacturing",,,y
202,Stamp Forming of Unidirectional Fiber-Reinforced Thermoplastic Hemispheres,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Exhibit/Performance,Engineering and Information Sciences,,,Justin Baron  Rylan Norris Fahad Alharbi,,,,,,Cross Insurance Center,,,652,,,,"Composite, Hemisphere, Stamp Forming",,,y
252,Production of Renewable Fuel via Thermal Deoxygenation Pathway- Energy Integration Analysis,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Exhibit/Performance,Engineering and Information Sciences,,,Maurvin Patel  Pater Van Walsum,,,,,,Cross Insurance Center,,,653,,,,"Biofuels, optimization ",,,y
272,Development of Stamp Thermoforming Process for Fiber Reinforced Thermoplastic Composites,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Exhibit/Performance,Engineering and Information Sciences,,,Nick Garfield  ,,,,,,Cross Insurance Center,,,654,,,,"Composites, 3D Printing, ASCC",,,y
287,Modelling and Simulation of the Thermoforming Process in Thermoplastic Composite Materials,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Exhibit/Performance,Engineering and Information Sciences,,,Philip Bean  ,,,,,,Cross Insurance Center,,,655,,,,"Thermoplastic, Composites, Simulation",,,y
288,Material Property Characterization for Extrusion-Based Additive Manufacturing of Structural Part,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Exhibit/Performance,Engineering and Information Sciences,,,PianPian Chen  ,,,,,,Cross Insurance Center,,,656,,,,"3D printing, Additive Manufacturing, Structural",,,y
292,Chemical Free Elimination of Culiseta melanura for the Reduction of Eastern Equine Encephalitis,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Exhibit/Performance,Engineering and Information Sciences,,,Rachael Bergeron  Colin Benson Brad Trenteseaux David Scidmore,,,,,,Cross Insurance Center,,,657,,,,,,,y
326,Stochastic Modeling of Wireless Energy Transfer with System Performance Optimization Calculations,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Exhibit/Performance,Engineering and Information Sciences,,,Shaun Veilleux  ,,,,,,Cross Insurance Center,,,658,,,,"Wireless, Energy, Transfer",,,y
335,Counting Peaks in Ice-Core Data,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Exhibit/Performance,Engineering and Information Sciences,,,Stanley C. Small  ,,,,,,Cross Insurance Center,,,659,,,,,,,y
372,Design and Modeling of Synthetic Moorings for Floating Offshore Wind Turbines using a Lumped Mass Mooring Model,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Exhibit/Performance,Engineering and Information Sciences,,,William West  ,,,,,,Cross Insurance Center,,,660,,,,"Windturbine, Floating, Modeling",,,y
375,3D printed channels for mold cooling,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Exhibit/Performance,Engineering and Information Sciences,,,Zachery Ladd,,,,,,Cross Insurance Center,,,661,,,,"3D Printing, Thermoplastics, Molding",,,y
198,Nanocellulose Filament Pickup,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Exhibit/Performance,Natural Sciences (except biomedical),,,Joshua Shibles  Mitchell Giles Trent Swengel Max McCabe,,,,,,Cross Insurance Center,,,662,,,,"Mechanical Engineering, Forest Bioproducts,  ",,,y
14,Response of Green Peach Aphids (Myzus persicae) to Potato Plants Infected with Dickeya dianthicola,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Poster,Natural Sciences (except biomedical),,,Alex Baron  ,,,,,,Cross Insurance Center,,,701,,,,"applied entomology, entomology, pest management",,,y
18,Phytoplankton Community Size Structure in the North Atlantic Ocean,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Poster,Natural Sciences (except biomedical),,,Alison Chase  ,,,,,,Cross Insurance Center,,,702,,,,"marine sciences, phytoplankton, oceanography",,,y
20,Analyzing the Natural Density of the Salmon Louse During Overwinter Periods Using Isopycnic Centrifugation,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Poster,Natural Sciences (except biomedical),,,Ally Redcay  ,,,,,,Cross Insurance Center,,,703,,,,"aquaculture, sea lice, natural density",,,y
21,"The Circadian Rhythms of Overwintering Lake Whitefish (Coregonus clupeaformis) in the State of Maine, and the Implications for Freshwater Fisheries",Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Poster,Natural Sciences (except biomedical),,,Ally Redcay  ,,,,,,Cross Insurance Center,,,704,,,,"lake whitefish, circadian rhythms, overwinter",,,y
